"","genes_list","description"
"15293","TEX33",NA
"15294","TEX35","testis expressed 35 [Source:HGNC Symbol;Acc:HGNC:25366]"
"15295","TEX36","testis expressed 36 [Source:HGNC Symbol;Acc:HGNC:31653]"
"15296","TEX37",NA
"15297","TEX38","testis expressed 38 [Source:HGNC Symbol;Acc:HGNC:29589]"
"15298","TEX43",NA
"15299","TEX44","testis expressed 44 [Source:HGNC Symbol;Acc:HGNC:28563]"
"15300","TEX45",NA
"15301","TEX46","testis expressed 46 [Source:HGNC Symbol;Acc:HGNC:44651]"
"15302","TEX47","testis expressed 47 [Source:HGNC Symbol;Acc:HGNC:22402]"
"15303","TEX48","testis expressed 48 [Source:HGNC Symbol;Acc:HGNC:52393]"
"15304","TEX49",NA
"15305","TEX50","testis expressed 50 [Source:HGNC Symbol;Acc:HGNC:52382]"
"15306","TEX51","testis expressed 51 [Source:HGNC Symbol;Acc:HGNC:52387]"
"15307","TEX52","testis expressed 52 [Source:HGNC Symbol;Acc:HGNC:53643]"
"15308","TEX53","testis expressed 53 [Source:HGNC Symbol;Acc:HGNC:53655]"
"15309","TEX54","testis expressed 54 [Source:HGNC Symbol;Acc:HGNC:53729]"
"15310","TEX55","testis expressed 55 [Source:HGNC Symbol;Acc:HGNC:26553]"
"15311","TEX9","testis expressed 9 [Source:HGNC Symbol;Acc:HGNC:29585]"
"15312","TF","transferrin [Source:HGNC Symbol;Acc:HGNC:11740]"
"15313","TFAP2A","transcription factor AP-2 alpha [Source:HGNC Symbol;Acc:HGNC:11742]"
"15314","TFAP2B","transcription factor AP-2 beta [Source:HGNC Symbol;Acc:HGNC:11743]"
"15315","TFAP2C","transcription factor AP-2 gamma [Source:HGNC Symbol;Acc:HGNC:11744]"
"15316","TFAP2D","transcription factor AP-2 delta [Source:HGNC Symbol;Acc:HGNC:15581]"
"15317","TFAP2E","transcription factor AP-2 epsilon [Source:HGNC Symbol;Acc:HGNC:30774]"
"15318","TFAP4","transcription factor AP-4 [Source:HGNC Symbol;Acc:HGNC:11745]"
"15319","TFB1M","transcription factor B1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17037]"
"15320","TFB2M","transcription factor B2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:18559]"
"15321","TFCP2","transcription factor CP2 [Source:HGNC Symbol;Acc:HGNC:11748]"
"15322","TFCP2L1","transcription factor CP2 like 1 [Source:HGNC Symbol;Acc:HGNC:17925]"
"15323","TFDP1","transcription factor Dp-1 [Source:HGNC Symbol;Acc:HGNC:11749]"
"15324","TFDP2","transcription factor Dp-2 [Source:HGNC Symbol;Acc:HGNC:11751]"
"15325","TFDP3","transcription factor Dp family member 3 [Source:HGNC Symbol;Acc:HGNC:24603]"
"15326","TFE3","transcription factor binding to IGHM enhancer 3 [Source:HGNC Symbol;Acc:HGNC:11752]"
"15327","TFEB","transcription factor EB [Source:HGNC Symbol;Acc:HGNC:11753]"
"15328","TFEC","transcription factor EC [Source:HGNC Symbol;Acc:HGNC:11754]"
"15329","TFF1","trefoil factor 1 [Source:HGNC Symbol;Acc:HGNC:11755]"
"15330","TFF2","trefoil factor 2 [Source:HGNC Symbol;Acc:HGNC:11756]"
"15331","TFF3","trefoil factor 3 [Source:HGNC Symbol;Acc:HGNC:11757]"
"15332","TFG","trafficking from ER to golgi regulator [Source:HGNC Symbol;Acc:HGNC:11758]"
"15333","TFIP11","tuftelin interacting protein 11 [Source:HGNC Symbol;Acc:HGNC:17165]"
"15334","TFPI","tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]"
"15335","TFPI2","tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]"
"15336","TFPT","TCF3 fusion partner [Source:HGNC Symbol;Acc:HGNC:13630]"
"15337","TFR2","transferrin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11762]"
"15338","TFRC","transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]"
"15339","TG","thyroglobulin [Source:HGNC Symbol;Acc:HGNC:11764]"
"15340","TGDS","TDP-glucose 4,6-dehydratase [Source:HGNC Symbol;Acc:HGNC:20324]"
"15341","TGFA","transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]"
"15342","TGFB1","transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]"
"15343","TGFB1I1","transforming growth factor beta 1 induced transcript 1 [Source:HGNC Symbol;Acc:HGNC:11767]"
"15344","TGFB2","transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]"
"15345","TGFB3","transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]"
"15346","TGFBI","transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]"
"15347","TGFBR1","transforming growth factor beta receptor 1 [Source:HGNC Symbol;Acc:HGNC:11772]"
"15348","TGFBR2","transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]"
"15349","TGFBR3","transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]"
"15350","TGFBR3L","transforming growth factor beta receptor 3 like [Source:HGNC Symbol;Acc:HGNC:44152]"
"15351","TGFBRAP1","transforming growth factor beta receptor associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16836]"
"15352","TGIF1","TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]"
"15353","TGIF2","TGFB induced factor homeobox 2 [Source:HGNC Symbol;Acc:HGNC:15764]"
"15354","TGIF2LX","TGFB induced factor homeobox 2 like X-linked [Source:HGNC Symbol;Acc:HGNC:18570]"
"15355","TGM1","transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]"
"15356","TGM2","transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]"
"15357","TGM3","transglutaminase 3 [Source:HGNC Symbol;Acc:HGNC:11779]"
"15358","TGM4","transglutaminase 4 [Source:HGNC Symbol;Acc:HGNC:11780]"
"15359","TGM5","transglutaminase 5 [Source:HGNC Symbol;Acc:HGNC:11781]"
"15360","TGM6","transglutaminase 6 [Source:HGNC Symbol;Acc:HGNC:16255]"
"15361","TGM7","transglutaminase 7 [Source:HGNC Symbol;Acc:HGNC:30790]"
"15362","TGOLN2","trans-golgi network protein 2 [Source:HGNC Symbol;Acc:HGNC:15450]"
"15363","TGS1","trimethylguanosine synthase 1 [Source:HGNC Symbol;Acc:HGNC:17843]"
"15364","TH","tyrosine hydroxylase [Source:HGNC Symbol;Acc:HGNC:11782]"
"15365","THADA","THADA armadillo repeat containing [Source:HGNC Symbol;Acc:HGNC:19217]"
"15366","THAP1","THAP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20856]"
"15367","THAP10","THAP domain containing 10 [Source:HGNC Symbol;Acc:HGNC:23193]"
"15368","THAP11","THAP domain containing 11 [Source:HGNC Symbol;Acc:HGNC:23194]"
"15369","THAP2","THAP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20854]"
"15370","THAP3","THAP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20855]"
"15371","THAP4","THAP domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23187]"
"15372","THAP6","THAP domain containing 6 [Source:HGNC Symbol;Acc:HGNC:23189]"
"15373","THAP7","THAP domain containing 7 [Source:HGNC Symbol;Acc:HGNC:23190]"
"15374","THAP8","THAP domain containing 8 [Source:HGNC Symbol;Acc:HGNC:23191]"
"15375","THAP9","THAP domain containing 9 [Source:HGNC Symbol;Acc:HGNC:23192]"
"15376","THBD","thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784]"
"15377","THBS1","thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]"
"15378","THBS2","thrombospondin 2 [Source:HGNC Symbol;Acc:HGNC:11786]"
"15379","THBS3","thrombospondin 3 [Source:HGNC Symbol;Acc:HGNC:11787]"
"15380","THBS4","thrombospondin 4 [Source:HGNC Symbol;Acc:HGNC:11788]"
"15381","THEG",NA
"15382","THEGL",NA
"15383","THEM4","thioesterase superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:17947]"
"15384","THEM5","thioesterase superfamily member 5 [Source:HGNC Symbol;Acc:HGNC:26755]"
"15385","THEM6","thioesterase superfamily member 6 [Source:HGNC Symbol;Acc:HGNC:29656]"
"15386","THEMIS","thymocyte selection associated [Source:HGNC Symbol;Acc:HGNC:21569]"
"15387","THEMIS2","thymocyte selection associated family member 2 [Source:HGNC Symbol;Acc:HGNC:16839]"
"15388","THG1L","tRNA-histidine guanylyltransferase 1 like [Source:HGNC Symbol;Acc:HGNC:26053]"
"15389","THNSL1","threonine synthase like 1 [Source:HGNC Symbol;Acc:HGNC:26160]"
"15390","THNSL2","threonine synthase like 2 [Source:HGNC Symbol;Acc:HGNC:25602]"
"15391","THOC1","THO complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19070]"
"15392","THOC2","THO complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19073]"
"15393","THOC5","THO complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:19074]"
"15394","THOC6","THO complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:28369]"
"15395","THOC7","THO complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:29874]"
"15396","THOP1","thimet oligopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:11793]"
"15397","THPO","thrombopoietin [Source:HGNC Symbol;Acc:HGNC:11795]"
"15398","THRA","thyroid hormone receptor alpha [Source:HGNC Symbol;Acc:HGNC:11796]"
"15399","THRAP3","thyroid hormone receptor associated protein 3 [Source:HGNC Symbol;Acc:HGNC:22964]"
"15400","THRB","thyroid hormone receptor beta [Source:HGNC Symbol;Acc:HGNC:11799]"
"15401","THRSP","thyroid hormone responsive [Source:HGNC Symbol;Acc:HGNC:11800]"
"15402","THSD1","thrombospondin type 1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17754]"
"15403","THSD4","thrombospondin type 1 domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25835]"
"15404","THSD7A","thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]"
"15405","THSD7B","thrombospondin type 1 domain containing 7B [Source:HGNC Symbol;Acc:HGNC:29348]"
"15406","THSD8","thrombospondin type 1 domain containing 8 [Source:HGNC Symbol;Acc:HGNC:53785]"
"15407","THTPA","thiamine triphosphatase [Source:HGNC Symbol;Acc:HGNC:18987]"
"15408","THUMPD1","THUMP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23807]"
"15409","THUMPD2","THUMP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14890]"
"15410","THUMPD3","THUMP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24493]"
"15411","THY1","Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]"
"15412","THYN1","thymocyte nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:29560]"
"15413","TIA1","TIA1 cytotoxic granule associated RNA binding protein [Source:HGNC Symbol;Acc:HGNC:11802]"
"15414","TIAF1",NA
"15415","TIAL1","TIA1 cytotoxic granule associated RNA binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:11804]"
"15416","TIAM1","TIAM Rac1 associated GEF 1 [Source:HGNC Symbol;Acc:HGNC:11805]"
"15417","TIAM2","TIAM Rac1 associated GEF 2 [Source:HGNC Symbol;Acc:HGNC:11806]"
"15418","TICAM1","TIR domain containing adaptor molecule 1 [Source:HGNC Symbol;Acc:HGNC:18348]"
"15419","TICAM2","TIR domain containing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:21354]"
"15420","TICRR","TOPBP1 interacting checkpoint and replication regulator [Source:HGNC Symbol;Acc:HGNC:28704]"
"15421","TIE1","tyrosine kinase with immunoglobulin like and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:11809]"
"15422","TIFA","TRAF interacting protein with forkhead associated domain [Source:HGNC Symbol;Acc:HGNC:19075]"
"15423","TIFAB","TIFA inhibitor [Source:HGNC Symbol;Acc:HGNC:34024]"
"15424","TIGAR","TP53 induced glycolysis regulatory phosphatase [Source:HGNC Symbol;Acc:HGNC:1185]"
"15425","TIGD1","tigger transposable element derived 1 [Source:HGNC Symbol;Acc:HGNC:14523]"
"15426","TIGD2","tigger transposable element derived 2 [Source:HGNC Symbol;Acc:HGNC:18333]"
"15427","TIGD3","tigger transposable element derived 3 [Source:HGNC Symbol;Acc:HGNC:18334]"
"15428","TIGD4","tigger transposable element derived 4 [Source:HGNC Symbol;Acc:HGNC:18335]"
"15429","TIGD5","tigger transposable element derived 5 [Source:HGNC Symbol;Acc:HGNC:18336]"
"15430","TIGD6","tigger transposable element derived 6 [Source:HGNC Symbol;Acc:HGNC:18332]"
"15431","TIGD7","tigger transposable element derived 7 [Source:HGNC Symbol;Acc:HGNC:18331]"
"15432","TIGIT","T cell immunoreceptor with Ig and ITIM domains [Source:HGNC Symbol;Acc:HGNC:26838]"
"15433","TIMD4","T cell immunoglobulin and mucin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25132]"
"15434","TIMELESS","timeless circadian regulator [Source:HGNC Symbol;Acc:HGNC:11813]"
"15435","TIMM10","translocase of inner mitochondrial membrane 10 [Source:HGNC Symbol;Acc:HGNC:11814]"
"15436","TIMM10B","translocase of inner mitochondrial membrane 10B [Source:HGNC Symbol;Acc:HGNC:4022]"
"15437","TIMM13","translocase of inner mitochondrial membrane 13 [Source:HGNC Symbol;Acc:HGNC:11816]"
"15438","TIMM17A","translocase of inner mitochondrial membrane 17A [Source:HGNC Symbol;Acc:HGNC:17315]"
"15439","TIMM17B","translocase of inner mitochondrial membrane 17B [Source:HGNC Symbol;Acc:HGNC:17310]"
"15440","TIMM21","translocase of inner mitochondrial membrane 21 [Source:HGNC Symbol;Acc:HGNC:25010]"
"15441","TIMM22","translocase of inner mitochondrial membrane 22 [Source:HGNC Symbol;Acc:HGNC:17317]"
"15442","TIMM23","translocase of inner mitochondrial membrane 23 [Source:HGNC Symbol;Acc:HGNC:17312]"
"15443","TIMM29","translocase of inner mitochondrial membrane 29 [Source:HGNC Symbol;Acc:HGNC:25152]"
"15444","TIMM44","translocase of inner mitochondrial membrane 44 [Source:HGNC Symbol;Acc:HGNC:17316]"
"15445","TIMM50","translocase of inner mitochondrial membrane 50 [Source:HGNC Symbol;Acc:HGNC:23656]"
"15446","TIMM8A","translocase of inner mitochondrial membrane 8A [Source:HGNC Symbol;Acc:HGNC:11817]"
"15447","TIMM8B","translocase of inner mitochondrial membrane 8 homolog B [Source:HGNC Symbol;Acc:HGNC:11818]"
"15448","TIMM9","translocase of inner mitochondrial membrane 9 [Source:HGNC Symbol;Acc:HGNC:11819]"
"15449","TIMMDC1","translocase of inner mitochondrial membrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1321]"
"15450","TIMP1","TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]"
"15451","TIMP2","TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]"
"15452","TIMP3","TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]"
"15453","TIMP4","TIMP metallopeptidase inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:11823]"
"15454","TINAG","tubulointerstitial nephritis antigen [Source:HGNC Symbol;Acc:HGNC:14599]"
"15455","TINAGL1","tubulointerstitial nephritis antigen like 1 [Source:HGNC Symbol;Acc:HGNC:19168]"
"15456","TINCR","TINCR ubiquitin domain containing [Source:HGNC Symbol;Acc:HGNC:14607]"
"15457","TINF2","TERF1 interacting nuclear factor 2 [Source:HGNC Symbol;Acc:HGNC:11824]"
"15458","TIPARP","TCDD inducible poly(ADP-ribose) polymerase [Source:HGNC Symbol;Acc:HGNC:23696]"
"15459","TIPIN","TIMELESS interacting protein [Source:HGNC Symbol;Acc:HGNC:30750]"
"15460","TIPRL","TOR signaling pathway regulator [Source:HGNC Symbol;Acc:HGNC:30231]"
"15461","TIRAP","TIR domain containing adaptor protein [Source:HGNC Symbol;Acc:HGNC:17192]"
"15462","TJAP1","tight junction associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17949]"
"15463","TJP1","tight junction protein 1 [Source:HGNC Symbol;Acc:HGNC:11827]"
"15464","TJP3","tight junction protein 3 [Source:HGNC Symbol;Acc:HGNC:11829]"
"15465","TK1","thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]"
"15466","TK2","thymidine kinase 2 [Source:HGNC Symbol;Acc:HGNC:11831]"
"15467","TKFC","triokinase and FMN cyclase [Source:HGNC Symbol;Acc:HGNC:24552]"
"15468","TKT","transketolase [Source:HGNC Symbol;Acc:HGNC:11834]"
"15469","TKTL1","transketolase like 1 [Source:HGNC Symbol;Acc:HGNC:11835]"
"15470","TKTL2","transketolase like 2 [Source:HGNC Symbol;Acc:HGNC:25313]"
"15471","TLCD1","TLC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25177]"
"15472","TLCD2","TLC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:33522]"
"15473","TLCD3A","TLC domain containing 3A [Source:HGNC Symbol;Acc:HGNC:29646]"
"15474","TLCD3B","TLC domain containing 3B [Source:HGNC Symbol;Acc:HGNC:25295]"
"15475","TLCD4","TLC domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26477]"
"15476","TLCD5","TLC domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28280]"
"15477","TLDC2","TBC/LysM-associated domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16112]"
"15478","TLE1","TLE family member 1, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11837]"
"15479","TLE2","TLE family member 2, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11838]"
"15480","TLE3","TLE family member 3, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11839]"
"15481","TLE4","TLE family member 4, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11840]"
"15482","TLE5","TLE family member 5, transcriptional modulator [Source:HGNC Symbol;Acc:HGNC:307]"
"15483","TLE6","TLE family member 6, subcortical maternal complex member [Source:HGNC Symbol;Acc:HGNC:30788]"
"15484","TLE7","TLE family member 7 [Source:HGNC Symbol;Acc:HGNC:53648]"
"15485","TLK1","tousled like kinase 1 [Source:HGNC Symbol;Acc:HGNC:11841]"
"15486","TLL1","tolloid like 1 [Source:HGNC Symbol;Acc:HGNC:11843]"
"15487","TLL2","tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:11844]"
"15488","TLN1","talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]"
"15489","TLN2","talin 2 [Source:HGNC Symbol;Acc:HGNC:15447]"
"15490","TLNRD1","talin rod domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13519]"
"15491","TLR1","toll like receptor 1 [Source:HGNC Symbol;Acc:HGNC:11847]"
"15492","TLR10","toll like receptor 10 [Source:HGNC Symbol;Acc:HGNC:15634]"
"15493","TLR2","toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]"
"15494","TLR3","toll like receptor 3 [Source:HGNC Symbol;Acc:HGNC:11849]"
"15495","TLR4","toll like receptor 4 [Source:HGNC Symbol;Acc:HGNC:11850]"
"15496","TLR5","toll like receptor 5 [Source:HGNC Symbol;Acc:HGNC:11851]"
"15497","TLR6","toll like receptor 6 [Source:HGNC Symbol;Acc:HGNC:16711]"
"15498","TLR7","toll like receptor 7 [Source:HGNC Symbol;Acc:HGNC:15631]"
"15499","TLR8","toll like receptor 8 [Source:HGNC Symbol;Acc:HGNC:15632]"
"15500","TLR9","toll like receptor 9 [Source:HGNC Symbol;Acc:HGNC:15633]"
"15501","TLX1","T cell leukemia homeobox 1 [Source:HGNC Symbol;Acc:HGNC:5056]"
"15502","TLX2","T cell leukemia homeobox 2 [Source:HGNC Symbol;Acc:HGNC:5057]"
"15503","TLX3","T cell leukemia homeobox 3 [Source:HGNC Symbol;Acc:HGNC:13532]"
"15504","TM2D1","TM2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24142]"
"15505","TM2D2","TM2 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24127]"
"15506","TM2D3","TM2 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24128]"
"15507","TM4SF1","transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]"
"15508","TM4SF18","transmembrane 4 L six family member 18 [Source:HGNC Symbol;Acc:HGNC:25181]"
"15509","TM4SF19","transmembrane 4 L six family member 19 [Source:HGNC Symbol;Acc:HGNC:25167]"
"15510","TM4SF20","transmembrane 4 L six family member 20 [Source:HGNC Symbol;Acc:HGNC:26230]"
"15511","TM4SF4","transmembrane 4 L six family member 4 [Source:HGNC Symbol;Acc:HGNC:11856]"
"15512","TM4SF5","transmembrane 4 L six family member 5 [Source:HGNC Symbol;Acc:HGNC:11857]"
"15513","TM6SF1","transmembrane 6 superfamily member 1 [Source:HGNC Symbol;Acc:HGNC:11860]"
"15514","TM6SF2","transmembrane 6 superfamily member 2 [Source:HGNC Symbol;Acc:HGNC:11861]"
"15515","TM7SF2","transmembrane 7 superfamily member 2 [Source:HGNC Symbol;Acc:HGNC:11863]"
"15516","TM7SF3","transmembrane 7 superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:23049]"
"15517","TM9SF1","transmembrane 9 superfamily member 1 [Source:HGNC Symbol;Acc:HGNC:11864]"
"15518","TM9SF2","transmembrane 9 superfamily member 2 [Source:HGNC Symbol;Acc:HGNC:11865]"
"15519","TM9SF3","transmembrane 9 superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:21529]"
"15520","TM9SF4","transmembrane 9 superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:30797]"
"15521","TMA16","translation machinery associated 16 homolog [Source:HGNC Symbol;Acc:HGNC:25638]"
"15522","TMBIM1","transmembrane BAX inhibitor motif containing 1 [Source:HGNC Symbol;Acc:HGNC:23410]"
"15523","TMBIM4","transmembrane BAX inhibitor motif containing 4 [Source:HGNC Symbol;Acc:HGNC:24257]"
"15524","TMBIM6","transmembrane BAX inhibitor motif containing 6 [Source:HGNC Symbol;Acc:HGNC:11723]"
"15525","TMC1","transmembrane channel like 1 [Source:HGNC Symbol;Acc:HGNC:16513]"
"15526","TMC2","transmembrane channel like 2 [Source:HGNC Symbol;Acc:HGNC:16527]"
"15527","TMC3","transmembrane channel like 3 [Source:HGNC Symbol;Acc:HGNC:22995]"
"15528","TMC4","transmembrane channel like 4 [Source:HGNC Symbol;Acc:HGNC:22998]"
"15529","TMC5","transmembrane channel like 5 [Source:HGNC Symbol;Acc:HGNC:22999]"
"15530","TMC6","transmembrane channel like 6 [Source:HGNC Symbol;Acc:HGNC:18021]"
"15531","TMC7","transmembrane channel like 7 [Source:HGNC Symbol;Acc:HGNC:23000]"
"15532","TMC8","transmembrane channel like 8 [Source:HGNC Symbol;Acc:HGNC:20474]"
"15533","TMCC1","transmembrane and coiled-coil domain family 1 [Source:HGNC Symbol;Acc:HGNC:29116]"
"15534","TMCC2","transmembrane and coiled-coil domain family 2 [Source:HGNC Symbol;Acc:HGNC:24239]"
"15535","TMCC3","transmembrane and coiled-coil domain family 3 [Source:HGNC Symbol;Acc:HGNC:29199]"
"15536","TMCO1","transmembrane and coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:18188]"
"15537","TMCO2","transmembrane and coiled-coil domains 2 [Source:HGNC Symbol;Acc:HGNC:23312]"
"15538","TMCO3","transmembrane and coiled-coil domains 3 [Source:HGNC Symbol;Acc:HGNC:20329]"
"15539","TMCO4","transmembrane and coiled-coil domains 4 [Source:HGNC Symbol;Acc:HGNC:27393]"
"15540","TMCO5A","transmembrane and coiled-coil domains 5A [Source:HGNC Symbol;Acc:HGNC:28558]"
"15541","TMCO6","transmembrane and coiled-coil domains 6 [Source:HGNC Symbol;Acc:HGNC:28814]"
"15542","TMED1","transmembrane p24 trafficking protein 1 [Source:HGNC Symbol;Acc:HGNC:17291]"
"15543","TMED10","transmembrane p24 trafficking protein 10 [Source:HGNC Symbol;Acc:HGNC:16998]"
"15544","TMED2","transmembrane p24 trafficking protein 2 [Source:HGNC Symbol;Acc:HGNC:16996]"
"15545","TMED3","transmembrane p24 trafficking protein 3 [Source:HGNC Symbol;Acc:HGNC:28889]"
"15546","TMED4","transmembrane p24 trafficking protein 4 [Source:HGNC Symbol;Acc:HGNC:22301]"
"15547","TMED5","transmembrane p24 trafficking protein 5 [Source:HGNC Symbol;Acc:HGNC:24251]"
"15548","TMED6","transmembrane p24 trafficking protein 6 [Source:HGNC Symbol;Acc:HGNC:28331]"
"15549","TMED7","transmembrane p24 trafficking protein 7 [Source:HGNC Symbol;Acc:HGNC:24253]"
"15550","TMED8","transmembrane p24 trafficking protein family member 8 [Source:HGNC Symbol;Acc:HGNC:18633]"
"15551","TMED9","transmembrane p24 trafficking protein 9 [Source:HGNC Symbol;Acc:HGNC:24878]"
"15552","TMEFF1","transmembrane protein with EGF like and two follistatin like domains 1 [Source:HGNC Symbol;Acc:HGNC:11866]"
"15553","TMEFF2","transmembrane protein with EGF like and two follistatin like domains 2 [Source:HGNC Symbol;Acc:HGNC:11867]"
"15554","TMEM100","transmembrane protein 100 [Source:HGNC Symbol;Acc:HGNC:25607]"
"15555","TMEM101","transmembrane protein 101 [Source:HGNC Symbol;Acc:HGNC:28653]"
"15556","TMEM102","transmembrane protein 102 [Source:HGNC Symbol;Acc:HGNC:26722]"
"15557","TMEM104","transmembrane protein 104 [Source:HGNC Symbol;Acc:HGNC:25984]"
"15558","TMEM106A","transmembrane protein 106A [Source:HGNC Symbol;Acc:HGNC:28288]"
"15559","TMEM106B","transmembrane protein 106B [Source:HGNC Symbol;Acc:HGNC:22407]"
"15560","TMEM106C","transmembrane protein 106C [Source:HGNC Symbol;Acc:HGNC:28775]"
"15561","TMEM107","transmembrane protein 107 [Source:HGNC Symbol;Acc:HGNC:28128]"
"15562","TMEM108","transmembrane protein 108 [Source:HGNC Symbol;Acc:HGNC:28451]"
"15563","TMEM109","transmembrane protein 109 [Source:HGNC Symbol;Acc:HGNC:28771]"
"15564","TMEM11","transmembrane protein 11 [Source:HGNC Symbol;Acc:HGNC:16823]"
"15565","TMEM114","transmembrane protein 114 [Source:HGNC Symbol;Acc:HGNC:33227]"
"15566","TMEM115","transmembrane protein 115 [Source:HGNC Symbol;Acc:HGNC:30055]"
"15567","TMEM116","transmembrane protein 116 [Source:HGNC Symbol;Acc:HGNC:25084]"
"15568","TMEM117","transmembrane protein 117 [Source:HGNC Symbol;Acc:HGNC:25308]"
"15569","TMEM119","transmembrane protein 119 [Source:HGNC Symbol;Acc:HGNC:27884]"
"15570","TMEM120A","transmembrane protein 120A [Source:HGNC Symbol;Acc:HGNC:21697]"
"15571","TMEM120B","transmembrane protein 120B [Source:HGNC Symbol;Acc:HGNC:32008]"
"15572","TMEM121","transmembrane protein 121 [Source:HGNC Symbol;Acc:HGNC:20511]"
"15573","TMEM121B","transmembrane protein 121B [Source:HGNC Symbol;Acc:HGNC:1844]"
"15574","TMEM123","transmembrane protein 123 [Source:HGNC Symbol;Acc:HGNC:30138]"
"15575","TMEM125","transmembrane protein 125 [Source:HGNC Symbol;Acc:HGNC:28275]"
"15576","TMEM126A","transmembrane protein 126A [Source:HGNC Symbol;Acc:HGNC:25382]"
"15577","TMEM126B","transmembrane protein 126B [Source:HGNC Symbol;Acc:HGNC:30883]"
"15578","TMEM127","transmembrane protein 127 [Source:HGNC Symbol;Acc:HGNC:26038]"
"15579","TMEM128","transmembrane protein 128 [Source:HGNC Symbol;Acc:HGNC:28201]"
